Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3452564, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 76, 'record_count': '76/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1942756, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 77, 'record_count': '77/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4202742, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 78, 'record_count': '78/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1782143, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 79, 'record_count': '79/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1672123, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 80, 'record_count': '80/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3691356, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 81, 'record_count': '81/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1744257, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 82, 'record_count': '82/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1841488, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 83, 'record_count': '83/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3491111, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 84, 'record_count': '84/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3468647, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 85, 'record_count': '85/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4655222, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 86, 'record_count': '86/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3468626, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 87, 'record_count': '87/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3758254, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 88, 'record_count': '88/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4702891, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 89, 'record_count': '89/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3780174, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 90, 'record_count': '90/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4665918, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 91, 'record_count': '91/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4705504, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 92, 'record_count': '92/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3472272, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 93, 'record_count': '93/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4666039, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 94, 'record_count': '94/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4665954, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 95, 'record_count': '95/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3472227, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 96, 'record_count': '96/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4370833, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 97, 'record_count': '97/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1739481, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 98, 'record_count': '98/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4702676, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 99, 'record_count': '99/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3461271, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 100, 'record_count': '100/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4374771, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 101, 'record_count': '101/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3690335, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 102, 'record_count': '102/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3690325, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 103, 'record_count': '103/238'}
